Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,Utah Jazz,82,19705,2935,6587,0.446,604,1670,0.362,2331,4917,0.474,1309,1760,0.744,811,2406,3217,1594,674,382,1076,1604,7783,94.9
2,Memphis Grizzlies*,82,19905,2954,6684,0.442,663,1889,0.351,2291,4795,0.478,1225,1651,0.742,864,2616,3480,1652,604,424,1257,1662,7796,95.1
3,San Antonio Spurs*,82,19955,3044,6861,0.444,558,1550,0.36,2486,5311,0.468,1307,1754,0.745,813,2643,3456,1699,648,362,1167,1613,7953,97
4,Indiana Pacers,82,19855,2949,6784,0.435,591,1713,0.345,2358,5071,0.465,1469,1951,0.753,800,2704,3504,1633,617,386,1045,1754,7958,97
5,Atlanta Hawks*,82,19730,2991,6815,0.439,720,2112,0.341,2271,4703,0.483,1262,1651,0.764,948,2631,3579,1931,604,404,1317,1611,7964,97.1
6,Miami Heat,82,19730,2960,6523,0.454,666,1887,0.353,2294,4636,0.495,1391,1905,0.73,894,2467,3361,1748,646,359,1215,1715,7977,97.3
7,Charlotte Hornets,82,19905,3020,6863,0.44,649,1816,0.357,2371,5047,0.47,1292,1673,0.772,728,2890,3618,1815,502,440,1033,1708,7981,97.3
8,Milwaukee Bucks*,82,19930,2917,6681,0.437,676,1974,0.342,2241,4707,0.476,1478,1993,0.742,938,2576,3514,1831,708,392,1425,1649,7988,97.4
9,Washington Wizards*,82,19955,2965,6844,0.433,657,1885,0.349,2308,4959,0.465,1434,1942,0.738,821,2599,3420,1634,655,350,1145,1610,8021,97.8
10,Chicago Bulls*,82,19880,3095,7109,0.435,538,1605,0.335,2557,5504,0.465,1291,1723,0.749,963,2598,3561,1657,614,443,1000,1736,8019,97.8
11,Portland Trail Blazers*,82,19855,3130,7123,0.439,524,1552,0.338,2606,5571,0.468,1298,1713,0.758,902,2754,3656,1669,655,297,999,1534,8082,98.6
12,New Orleans Pelicans*,82,19780,3108,6814,0.456,537,1605,0.335,2571,5209,0.494,1329,1751,0.759,870,2537,3407,1700,555,475,1003,1533,8082,98.6
13,Cleveland Cavaliers*,82,19780,3121,6850,0.456,634,1848,0.343,2487,5002,0.497,1214,1629,0.745,885,2487,3372,1974,642,368,1092,1685,8090,98.7
14,Detroit Pistons,82,19830,3106,6817,0.456,635,1789,0.355,2471,5028,0.491,1312,1699,0.772,877,2740,3617,1949,572,391,1146,1584,8159,99.5
15,Golden State Warriors*,82,19730,3031,7084,0.428,592,1757,0.337,2439,5327,0.458,1534,2011,0.763,963,2690,3653,1718,680,293,1329,1541,8188,99.9
16,Los Angeles Clippers*,82,19730,2984,6745,0.442,683,1959,0.349,2301,4786,0.481,1560,2105,0.741,868,2649,3517,1904,548,245,1171,1766,8211,100.1
17,Houston Rockets*,82,19805,3092,6983,0.443,605,1881,0.322,2487,5102,0.487,1451,1932,0.751,973,2621,3594,1752,726,437,1342,1730,8240,100.5
18,Brooklyn Nets*,82,19930,3150,6913,0.456,696,1944,0.358,2454,4969,0.494,1278,1748,0.731,937,2699,3636,1944,643,372,1137,1641,8274,100.9
19,Toronto Raptors*,82,19855,3116,6787,0.459,633,1828,0.346,2483,4959,0.501,1410,1923,0.733,922,2559,3481,1870,567,413,1182,1668,8275,100.9
20,Philadelphia 76ers,82,19805,3045,6785,0.449,658,1879,0.35,2387,4906,0.487,1530,2023,0.756,940,2853,3793,1942,779,454,1374,1657,8278,101
21,New York Knicks,82,19855,3031,6592,0.46,694,1825,0.38,2337,4767,0.49,1543,2032,0.759,898,2669,3567,1783,659,353,1153,1564,8299,101.2
22,Boston Celtics*,82,19880,3125,6943,0.45,607,1804,0.336,2518,5139,0.49,1442,1909,0.755,893,2772,3665,1798,583,431,1239,1545,8299,101.2
23,Orlando Magic,82,19755,3112,6720,0.463,682,1853,0.368,2430,4867,0.499,1410,1878,0.751,825,2739,3564,1921,635,441,1185,1467,8316,101.4
24,Oklahoma City Thunder,82,19830,3085,7008,0.44,681,1984,0.343,2404,5024,0.479,1494,2005,0.745,917,2587,3504,1815,642,377,1118,1675,8345,101.8
25,Dallas Mavericks*,82,19880,3117,6930,0.45,741,2034,0.364,2376,4896,0.485,1415,1879,0.753,1006,2778,3784,1830,602,314,1339,1816,8390,102.3
26,Phoenix Suns,82,19880,3149,6972,0.452,633,1798,0.352,2516,5174,0.486,1540,2030,0.759,951,2766,3717,1734,651,337,1276,1664,8471,103.3
27,Denver Nuggets,82,19880,3164,6909,0.458,631,1823,0.346,2533,5086,0.498,1652,2208,0.748,899,2798,3697,1894,611,504,1177,1698,8611,105
28,Sacramento Kings,82,19855,3238,7094,0.456,718,2055,0.349,2520,5039,0.5,1420,1898,0.748,898,2479,3377,1912,712,508,1059,1958,8614,105
29,Los Angeles Lakers,82,19930,3180,6817,0.466,697,1921,0.363,2483,4896,0.507,1577,2118,0.745,824,2797,3621,1966,611,396,1068,1589,8634,105.3
30,Minnesota Timberwolves,82,19805,3373,6933,0.487,697,1897,0.367,2676,5036,0.531,1294,1704,0.759,953,2619,3572,1933,686,449,1243,1751,8737,106.5
